name,latex,references,tags,domain,domain_latex,minima_latex,link
Ackley,"$$f(\textbf{x}) = f(x_1, ..., x_n)= -a.exp(-b\sqrt{\frac{1}{n}\sum_{i=1}^{n}x_i^2})-exp(\frac{1}{n}\sum_{i=1}^{n}cos(cx_i))+ a + exp(1)$$","['http://www.sfu.ca/~ssurjano/ackley.html', 'https://en.wikipedia.org/wiki/Test_functions_for_optimization', 'http://www.cs.unm.edu/~neal.holts/dga/benchmarkFunction/ackley.html']","['n-dimensional', 'continuous', 'multimodal', 'non-convex', 'differentiable']","[-32, 32]","$x_i \in [-32, 32]$ for all $i = 1,...,n$","The function has one global minimum at: $f(\textbf{x}^{\ast})=0$ at $\textbf{x}^{\ast} = (0, ..., 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/ackleyfcn.markdown
Ackley N. 2,"$$f(x, y) = -200e^{-0.2\sqrt{x^2 + y^2}}$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. H. Ackley, “A Connectionist Machine for Genetic Hill-Climbing,” Kluwer, 1987']","['2-dimensional', 'non-separable', 'unimodal', 'convex', 'differentiable']","[-32, 32]","$x_i \in [-32, 32]$ for $i=1, 2$","The function has a global minimum at $f(\textbf{x}^{\ast})=-200$ located at $\mathbf{x^\ast}=(0, 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/ackleyn2fcn.markdown
Ackley N. 3,"$$f(x, y) = -200e^{-0.2\sqrt{x^2 + y^2}} + 5e^{cos(3x) + sin(3y)}$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), arXiv:1308.400', '. H. Ackley, “A Connectionist Machine for Genetic Hill-Climbing,” Kluwer, 1987', 'ayak B., Dash S.K., Sahu J.B. (2019) Validation of Well-Known Population-Based Stochastic Optimization Algorithms Using Benchmark Functions. In: Bansal J., Das K., Nagar A., Deep K., Ojha A. (eds) Soft Computing for Problem Solving. Advances in Intelligent Systems and Computing, vol 816. Springer, Singapor']","['2-dimensional', 'non-separable', 'multimodal', 'non-convex', 'differentiable']","[-32, 32]","$x_i \in [-32, 32]$ for $i=1, 2$","The function has two global minima at $f(\textbf{x}^{\ast})\approx -195.629028238419$ located at $\mathbf{x^\ast}=(\pm0.682584587365898, -0.36075325513719)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/ackleyn3fcn.markdown
Ackley N. 4,$$f(\textbf{x})=\sum_{i=1}^{n-1}\left( e^{-0.2}\sqrt{x_i^2+x_{i+1}^2} + 3\left( cos(2x_i) + sin(2x_{i+1}) \right) \right)$$,"['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008']","['n-dimensional', 'non-separable', 'multimodal', 'non-convex', 'differentiable']","[-35, 35]","$x_i \in [-35, 35]$ for $i=1, ..., n$","On the 2-dimensional space, the function has one global minima at $f(\textbf{x}^{\ast}) = -4.590101633799122$ located at $\mathbf{x^\ast}=(-1.51, -0.755)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/ackleyn4fcn.markdown
Adjiman,"$$f(x, y)=cos(x)sin(y) - \frac{x}{y^2+1}$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. S. Adjiman, S. Sallwig, C. A. Flouda, A. Neumaier, ""A Global Optimization Method, aBB for General Twice-Differentiable NLPs-1, Theoretical Advances,"" Computers Chemical Engineering, vol. 22, no. 9, pp. 1137-1158, 1998', 'ing, A., ""Differential Evolution: Fundamentals and Applications in Electrical Engineering"", Wiley, 2009. [https://books.google.com/books?id=Pp-SHz6dIJ0C']","['2-dimensional', 'non-separable', 'multimodal', 'non-convex', 'differentiable']","[-1, 2]","$x \in [-1, 2]$ and $y \in [-1, 1]$","On the on $x \in [-1, 2]$ and $x \in [-1, 1]$ cube, the global minimum $f(\textbf{x}^{\ast})=-2.02181$ is located at $\mathbf{x^\ast}=(0, 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/adjimanfcn.markdown
Alpine N. 1,"$$f(\mathbf x)=f(x_1, ..., x_n) = \sum_{i=1}^{n}|x_i sin(x_i)+0.1x_i|$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. Clerc, “The Swarm and the Queen, Towards a Deterministic and Adaptive Particle Swarm Optimization, ” IEEE Congress on Evolutionary Computation, Washington DC, USA, pp. 1951-1957, 1999']","['n-dimensional', 'non-separable', 'multimodal', 'non-convex', 'differentiable']","[0, 10]","$x_i \in [0, 10]$ for $i=1, ..., n$","The function has a global minimum  $f(\textbf{x}^{\ast})=0$ located at $\mathbf{x^\ast}=(0, ..., 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/alpinen1fcn.markdown
Alpine N. 2,"$$f(\mathbf x)=f(x_1, ..., x_n) = \prod_{i=1}^{n}\sqrt{x_i}sin(x_i)$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. Clerc, “The Swarm and the Queen, Towards a Deterministic and Adaptive Particle Swarm Optimization, ” IEEE Congress on Evolutionary Computation, Washington DC, USA, pp. 1951-1957, 1999']","['n-dimensional', 'non-separable', 'multimodal', 'non-convex', 'differentiable']","[0, 10]","$x_i \in [0, 10]$ for $i=1, ..., n$","The function was devised By Clerc as a maximization problem and hence, the orginial paper gave  $f(\textbf{x}^{\ast})=2.808^n$, ",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/alpinen2fcn.markdown
Bartels Conn,"$$f(x,y)=|x^2 + y^2 + xy| + |sin(x)| + |cos(y)|$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008']","['2-dimensional', 'non-separable', 'multimodal', 'non-convex', 'non-differentiable']","[-500, 500]","$x \in [-500, 500]$ and $y \in [-500, 500]$","The global minimum $f(\textbf{x}^{\ast})=1$ is located at $\mathbf{x^\ast}=(0, 0)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/bartelsconnfcn.markdown
Beale,"$$f(x, y) = (1.5-x+xy)^2+(2.25-x+xy^2)^2+(2.625-x+xy^3)^2$$","['http://www.sfu.ca/~ssurjano/ackley.html', 'https://en.wikipedia.org/wiki/Test_functions_for_optimization', 'http://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO_files/Page288.htm']","['2-dimensional', 'continuous', 'multimodal', 'non-convex']","[-4.5, 4.5]","$x \in [-4.5, 4.5]$ for all $i = 1, 2$","The function has one global minimum at: $f(x^*)=0$ at $\textbf{x}^{\ast} = (3, 0.5)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/bealefcn.markdown
Bird,"$$f(x, y) = sin(x)e^{(1-cos(y))^2}+cos(y)e^{(1-sin(x))^2}+(x-y)^2$$","['omin Jamil and Xin-She Yang, A literature survey of benchmark functions for global optimization problems, Int. Journal of Mathematical Modelling and Numerical Optimisation}, Vol. 4, No. 2, pp. 150--194 (2013), [arXiv:1308.4008', '. K. Mishra, “Global Optimization By Differential Evolution and Particle Swarm Methods: Evaluation On Some Benchmark Functions,” Munich Research Papers in Economics, Available Online: [http://mpra.ub.uni-muenchen.de/1005/']","['2-dimensional', 'non-separable', 'multimodal', 'non-convex', 'differentiable']","[-2*np.pi, 2*np.pi]","$x_i \in [-2\pi, 2\pi]$ for $i=1, 2$","The function has two global minima at $f(\textbf{x}^{\ast}) = -106.764537$ located at $\mathbf{x^\ast}=(4.70104, 3.15294)$ and $\mathbf{x^\ast}=(-1.58214, -3.13024)$.",https://github.com/mazhar-ansari-ardeh/BenchmarkFcns/blob/gh-pages/benchmarkfcns/birdfcn.markdown
