name,dimensions,references,domain_latex,link
Hartmann 4-Dimensional,4,"['Dixon, L. C. W., & Szego, G. P. (1978). The global optimization problem: an introduction. Towards global optimization, 2, 1-15.', 'Picheny, V., Wagner, T., & Ginsbourger, D. (2012). A benchmark of kriging-based infill criteria for noisy optimization.']","xi ∈ [0, 1], for all i = 1, 2, 3, 4",https://www.sfu.ca/~ssurjano/hart4.html
Six-Hump Camel,2,"['Molga, M., & Smutnicki, C. Test functions for optimization needs (2005). Retrieved June 2013, from http://www.zsd.ict.pwr.wroc.pl/files/docs/functions.pdf.']","x1 ∈ [-3, 3], x2 ∈ [-2, 2]",https://www.sfu.ca/~ssurjano/camel6.html
McCormick,2,"['Adorio, E. P., & Diliman, U. P. MVF - Multivariate Test Functions Library in C for Unconstrained Global Optimization (2005). Retrieved June 2013, from http://http://www.geocities.ws/eadorio/mvf.pdf.']","x1 ∈ [-1.5, 4], x2 ∈ [-3, 4]",https://www.sfu.ca/~ssurjano/mccorm.html
Three-Hump Camel,2,"['Test functions for optimization. In Wikipedia. Retrieved June 2013, from https://en.wikipedia.org/wiki/Test_functions_for_optimization.']","xi ∈ [-5, 5], for all i = 1, 2",https://www.sfu.ca/~ssurjano/camel3.html
Langermann,d,"['Adorio, E. P., & Diliman, U. P. MVF - Multivariate Test Functions Library in C for Unconstrained Global Optimization (2005). Retrieved June 2013, from http://http://www.geocities.ws/eadorio/mvf.pdf.', 'Molga, M., & Smutnicki, C. Test functions for optimization needs (2005). Retrieved June 2013, from http://www.zsd.ict.pwr.wroc.pl/files/docs/functions.pdf.']","xi ∈ [0, 10], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/langer.html
Ackley,d,"['Adorio, E. P., & Diliman, U. P. MVF - Multivariate Test Functions Library in C for Unconstrained Global Optimization (2005). Retrieved June 2013, from http://http://www.geocities.ws/eadorio/mvf.pdf.', 'Molga, M., & Smutnicki, C. Test functions for optimization needs (2005). Retrieved June 2013, from http://www.zsd.ict.pwr.wroc.pl/files/docs/functions.pdf.', 'Back, T. (1996). Evolutionary algorithms in theory and practice: evolution strategies, evolutionary programming, genetic algorithms. Oxford University Press on Demand.']","xi ∈ [-32.768, 32.768], for all i = 1, …, d, although it may also be restricted to a smaller domain",https://www.sfu.ca/~ssurjano/ackley.html
Levy,d,"['Global Optimization Test Functions Index. Retrieved June 2013, from http://infinity77.net/global_optimization/test_functions.html#test-functions-index.', 'Laguna, M., & Marti, R. Experimental Testing of Advanced Scatter Search Designs for Global Optimization of Multimodal Functions (2002). Retrieved June 2013, from http://www.uv.es/rmarti/paper/docs/global1.pdf.']","xi ∈ [-10, 10], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/levy.html
Booth,2,"['Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.']","xi ∈ [-10, 10], for all i = 1, 2",https://www.sfu.ca/~ssurjano/booth.html
"Perm Function d, Beta",d,"['Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.']","xi ∈ [-d, d], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/permdb.html
Forrester et al. (2008),1,"['Forrester, A., Sobester, A., & Keane, A. (2008). Engineering design via surrogate modelling: a practical guide. Wiley.']","x ∈ [0, 1]",https://www.sfu.ca/~ssurjano/forretal08.html
Cross-in-Tray,2,"['Test functions for optimization. In Wikipedia. Retrieved June 2013, from https://en.wikipedia.org/wiki/Test_functions_for_optimization.']","xi ∈ [-10, 10], for all i = 1, 2",https://www.sfu.ca/~ssurjano/crossit.html
Dixon-Price,d,"['Global Optimization Test Functions Index. Retrieved June 2013, from http://infinity77.net/global_optimization/test_functions.html#test-functions-index.']","xi ∈ [-10, 10], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/dixonpr.html
Levy Function N. 13,2,"['Global Optimization Test Functions Index. Retrieved June 2013, from http://infinity77.net/global_optimization/test_functions.html#test-functions-index.']","xi ∈ [-10, 10], for all i = 1, 2",https://www.sfu.ca/~ssurjano/levy13.html
De Jong Function N. 5,2,"['Molga, M., & Smutnicki, C. Test functions for optimization needs (2005). Retrieved June 2013, from http://www.zsd.ict.pwr.wroc.pl/files/docs/functions.pdf.']","xi ∈ [-65.536, 65.536], for all i = 1, 2",https://www.sfu.ca/~ssurjano/dejong5.html
Rosenbrock,d,"['Dixon, L. C. W., & Szego, G. P. (1978). The global optimization problem: an introduction. Towards global optimization, 2, 1-15.', 'Global Optimization Test Problems. Retrieved June 2013, from\nhttp://www-optima.amp.i.kyoto-u.ac.jp/member/student/hedar/Hedar_files/TestGO.htm.', 'Molga, M., & Smutnicki, C. Test functions for optimization needs (2005). Retrieved June 2013, from http://www.zsd.ict.pwr.wroc.pl/files/docs/functions.pdf.', 'Picheny, V., Wagner, T., & Ginsbourger, D. (2012). A benchmark of kriging-based infill criteria for noisy optimization.']","xi ∈ [-5, 10], for all i = 1, …, d, although it may be restricted to the hypercube xi ∈ [-2.048, 2.048], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/rosen.html
Sum of Different Powers,d,"['Molga, M., & Smutnicki, C. Test functions for optimization needs (2005). Retrieved June 2013, from http://www.zsd.ict.pwr.wroc.pl/files/docs/functions.pdf.']","xi ∈ [-1, 1], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/sumpow.html
Holder Table,2,"['Global Optimization Test Functions Index. Retrieved June 2013, from http://infinity77.net/global_optimization/test_functions.html#test-functions-index.', 'Test functions for optimization. In Wikipedia. Retrieved June 2013, from https://en.wikipedia.org/wiki/Test_functions_for_optimization.']","xi ∈ [-10, 10], for all i = 1, 2",https://www.sfu.ca/~ssurjano/holder.html
Styblinski-Tang,d,"['Global Optimization Test Functions Index. Retrieved June 2013, from http://infinity77.net/global_optimization/test_functions.html#test-functions-index.']","xi ∈ [-5, 5], for all i = 1, …, d",https://www.sfu.ca/~ssurjano/stybtang.html
